value_1,value_2,value_3,value_4,value_5,value_6,img_name
0,1,2,0,1,0,0013_A2LEBJJDE00060O_1602578303771_2_TH.jpg
0,2,3,0,0,0,0013_A2LEBJJDE00060O_1602578303771_3_TH.jpg
0,2,2,0,0,0,0013_A2LEBJJDE00060O_1602578303771_4_LH.jpg
0,2,3,0,0,0,0013_A2LEBJJDE00060O_1602578303771_5_RH.jpg
0,2,2,0,2,1,0013_A2LEBJJDE00060O_1602911366731_2_TH.jpg
0,2,1,0,2,0,0013_A2LEBJJDE00060O_1602911366731_5_RH.jpg
0,1,2,0,0,0,0013_A2LEBJJDE00060O_1602911366731_6_BH.jpg
2,0,1,0,0,1,0013_A2LEBJJDE00060O_1603096385510_2_TH.jpg
1,0,0,0,1,0,0013_A2LEBJJDE00060O_1603096385510_4_LH.jpg
0,2,0,0,0,0,0013_A2LEBJJDE00060O_1603096790519_2_TH.jpg
0,1,0,0,1,0,0013_A2LEBJJDE00060O_1603096790519_3_TH.jpg
0,1,1,0,1,0,0013_A2LEBJJDE00060O_1603096790519_4_LH.jpg
0,1,2,0,1,0,0013_A2LEBJJDE00060O_1603096790519_5_RH.jpg
0,1,1,0,0,0,0013_A2LEBJJDE00060O_1603096790519_6_BH.jpg
0,3,1,0,0,0,0013_A2LEBJJDE00060O_1603257373184_2_TH.jpg
0,2,1,0,1,0,0013_A2LEBJJDE00060O_1603257373184_3_TH.jpg
0,1,2,0,1,0,0013_A2LEBJJDE00060O_1603257373184_4_LH.jpg
0,2,2,0,2,0,0013_A2LEBJJDE00060O_1603257373184_5_RH.jpg
0,1,1,0,0,0,0013_A2LEBJJDE00060O_1603279597533_2_TH.jpg
2,0,2,0,1,0,0013_A2LEBJJDE00060O_1603279597533_3_TH.jpg
0,1,2,0,0,0,0013_A2LEBJJDE00060O_1603279597533_4_LH.jpg
0,1,1,0,2,0,0013_A2LEBJJDE00060O_1603279597533_5_RH.jpg
0,1,1,0,0,0,0013_A2LEBJJDE00060O_1603279597533_6_BH.jpg
0,2,2,0,2,1,0013_A2LEBJJDE00060O_1603341963457_2_TH.jpg
0,2,1,0,2,0,0013_A2LEBJJDE00060O_1603341963457_3_TH.jpg
2,0,2,0,2,2,0013_A2LEBJJDE00060O_1603341963457_4_LH.jpg
2,0,2,0,0,1,0013_A2LEBJJDE00060O_1603341963457_5_RH.jpg
0,1,3,0,2,1,0013_A2LEBJJDE00060O_1603341963457_6_BH.jpg
0,2,1,0,1,0,0013_A2LEBJJDE00060O_1603342351290_6_BH.jpg
0,3,3,0,0,0,0013_A2LEBJJDE00060O_1603352970812_2_TH.jpg
0,2,3,0,0,0,0013_A2LEBJJDE00060O_1603352970812_3_TH.jpg
0,2,3,0,2,0,0013_A2LEBJJDE00060O_1603508849507_2_TH.jpg
0,1,2,0,3,0,0013_A2LEBJJDE00060O_1603508849507_3_TH.jpg
0,2,3,0,0,0,0013_A2LEBJJDE00060O_1603508849507_4_LH.jpg
0,1,3,3,3,0,0013_A2LEBJJDE00060O_1603508849507_5_RH.jpg
0,2,0,0,2,0,0013_A2LEBJJDE00060O_1603942846656_2_TH.jpg
0,3,1,0,1,0,0013_A2LEBJJDE00060O_1603942846656_3_TH.jpg
0,2,3,0,2,0,0013_A2LEBJJDE00060O_1603942846656_4_LH.jpg
0,2,3,0,3,0,0013_A2LEBJJDE00060O_1603942846656_5_RH.jpg
0,2,3,0,2,0,0013_A2LEBJJDE00060O_1603942846656_6_BH.jpg
2,0,1,0,1,0,0013_A2LEBJJDE00060O_1603942897337_2_TH.jpg
3,0,3,0,1,0,0013_A2LEBJJDE00060O_1603942897337_4_LH.jpg
1,0,2,2,0,1,0013_A2LEBJJDE00060O_1603942897337_6_BH.jpg
0,2,1,0,0,0,0013_A2LEBJJDE00060O_1603942924951_2_TH.jpg
0,2,1,0,0,0,0013_A2LEBJJDE00060O_1603942924951_3_TH.jpg
0,1,3,0,0,0,0013_A2LEBJJDE00060O_1603942924951_4_LH.jpg
0,2,3,0,0,0,0013_A2LEBJJDE00060O_1603942924951_6_BH.jpg
0,1,1,0,1,0,0013_A2LEBJJDE00060O_1603942937375_2_TH.jpg
0,1,1,0,2,0,0013_A2LEBJJDE00060O_1603942937375_3_TH.jpg
0,1,3,0,0,0,0013_A2LEBJJDE00060O_1603942937375_6_BH.jpg
0,1,0,0,0,0,0013_A2LEBJJDE00060O_1603942963211_2_TH.jpg
1,0,2,0,0,2,0013_A2LEBJJDE00060O_1603942963211_3_TH.jpg
0,1,1,0,0,0,0013_A2LEBJJDE00060O_1603942963211_4_LH.jpg
0,1,1,0,0,0,0013_A2LEBJJDE00060O_1603942963211_5_RH.jpg
3,0,0,0,1,0,0013_A2LEBJJDE00060O_1603942963211_6_BH.jpg
0,2,0,0,1,0,0013_A2LEBJJDE00060O_1603942974997_2_TH.jpg
0,1,0,0,0,1,0013_A2LEBJJDE00060O_1603942974997_4_LH.jpg
0,1,1,0,0,0,0013_A2LEBJJDE00060O_1603942974997_5_RH.jpg
0,1,0,0,0,0,0013_A2LEBJJDE00060O_1603942974997_6_BH.jpg
2,0,2,0,1,0,0013_A2LEBJJDE00060O_1603942990017_2_TH.jpg
0,1,0,0,0,0,0013_A2LEBJJDE00060O_1603942990017_3_TH.jpg
0,1,2,1,0,0,0013_A2LEBJJDE00060O_1603942990017_4_LH.jpg
0,1,1,0,0,0,0013_A2LEBJJDE00060O_1603942990017_5_RH.jpg
0,2,1,0,2,0,0013_A2LEBJJDE00060O_1603943000830_2_TH.jpg
0,2,2,0,1,0,0013_A2LEBJJDE00060O_1603943000830_5_RH.jpg
0,2,2,0,2,0,0013_A2LEBJJDE00060O_1603943000830_6_BH.jpg
0,2,2,0,1,0,0013_A2LEBJJDE00060O_1603943030942_3_TH.jpg
0,2,2,0,0,0,0013_A2LEBJJDE00060O_1603943030942_6_BH.jpg
0,3,0,0,3,0,0013_A2LEBJJDE00060O_1603943045806_3_TH.jpg
0,2,1,0,1,0,0013_A2LEBJJDE00060O_1603943045806_4_LH.jpg
0,1,3,0,1,0,0013_A2LEBJJDE00060O_1603943045806_5_RH.jpg
0,1,2,0,1,0,0013_A2LEBJJDE00060O_1603943045806_6_BH.jpg
0,2,2,0,0,0,0013_A2LEBJJDE00060O_1603943094656_2_TH.jpg
0,2,1,0,1,0,0013_A2LEBJJDE00060O_1603943094656_3_TH.jpg
0,1,3,0,0,1,0013_A2LEBJJDE00060O_1603943094656_5_RH.jpg
0,2,2,0,2,1,0013_A2LEBJJDE00060O_1603943094656_6_BH.jpg
0,3,1,0,1,0,0013_A2LEBJJDE00060O_1603943105233_3_TH.jpg
0,2,2,0,1,0,0013_A2LEBJJDE00060O_1603943105233_4_LH.jpg
0,1,2,0,2,0,0013_A2LEBJJDE00060O_1603943105233_6_BH.jpg
0,2,1,0,1,0,0013_A2LEBJJDE00060O_1603943124989_3_TH.jpg
0,2,3,0,0,0,0013_A2LEBJJDE00060O_1603943124989_4_LH.jpg
0,2,1,0,0,1,0013_A2LEBJJDE00060O_1603943124989_5_RH.jpg
0,2,1,0,2,0,0013_A2LEBJJDE00060O_1603943135501_2_TH.jpg
0,1,2,0,0,0,0013_A2LEBJJDE00060O_1603943135501_5_RH.jpg
0,2,0,1,2,0,0013_A2LEBJJDE00060O_1603943135501_6_BH.jpg
0,3,0,0,2,0,0013_A2LEBJJDE00060O_1603943149016_2_TH.jpg
0,2,3,0,1,0,0013_A2LEBJJDE00060O_1603943149016_4_LH.jpg
0,1,3,0,0,0,0013_A2LEBJJDE00060O_1603943149016_5_RH.jpg
0,2,1,0,2,0,0013_A2LEBJJDE00060O_1603943149016_6_BH.jpg
0,2,1,0,1,0,0013_A2LEBJJDE00060O_1604372008071_2_TH.jpg
0,1,2,0,1,0,0013_A2LEBJJDE00060O_1604372008071_4_LH.jpg
0,1,1,0,2,0,0013_A2LEBJJDE00060O_1604372008071_5_RH.jpg
0,1,2,0,1,0,0013_A2LEBJJDE00060O_1604372008071_6_BH.jpg
0,2,1,0,1,0,0013_A2LEBJJDE00060O_1604372029042_3_TH.jpg
1,0,2,0,1,0,0013_A2LEBJJDE00060O_1604372029042_5_RH.jpg
0,2,1,0,1,0,0013_A2LEBJJDE00060O_1604372029042_6_BH.jpg
0,2,3,0,0,0,0013_A2LEBJJDE00060O_1604372042927_4_LH.jpg
0,2,2,0,0,1,0013_A2LEBJJDE00060O_1604372042927_6_BH.jpg
3,0,2,0,0,0,0013_A2LEBJJDE00060O_1604372056498_2_TH.jpg
3,0,1,0,1,0,0013_A2LEBJJDE00060O_1604372056498_3_TH.jpg
1,1,1,0,0,0,0013_A2LEBJJDE00060O_1604372056498_4_LH.jpg
0,1,2,0,0,0,0013_A2LEBJJDE00060O_1604372056498_5_RH.jpg
1,0,1,0,0,0,0013_A2LEBJJDE00060O_1604372056498_6_BH.jpg
0,2,0,0,0,0,0013_A2LEBJJDE00060O_1604372067887_3_TH.jpg
0,2,1,0,1,0,0013_A2LEBJJDE00060O_1604372067887_4_LH.jpg
0,2,1,0,0,0,0013_A2LEBJJDE00060O_1604372067887_6_BH.jpg
0,2,3,0,2,0,0013_A2LEBJJDE00060O_1604372088744_3_TH.jpg
0,2,2,0,0,0,0013_A2LEBJJDE00060O_1604372088744_5_RH.jpg
0,2,3,0,1,0,0013_A2LEBJJDE00060O_1604372088744_6_BH.jpg
0,1,0,0,3,0,0013_A2LEBJJDE00060O_1604540030816_3_TH.jpg
0,2,2,0,0,0,0013_A2LEBJJDE00060O_1604540030816_4_LH.jpg
3,0,0,0,1,0,0013_A2LEBJJDE00060O_1604540030816_5_RH.jpg
0,1,1,0,0,0,0013_A2LEBJJDE00060O_1604540030816_6_BH.jpg
3,0,2,0,1,1,0013_A2LEBJJDE00060O_1604540048368_3_TH.jpg
2,0,0,0,1,1,0013_A2LEBJJDE00060O_1604540048368_4_LH.jpg
0,0,1,1,0,1,0013_A2LEBJJDE00060O_1604540048368_5_RH.jpg
0,2,2,0,3,0,0013_A2LEBJJDE00060O_1604540048368_6_BH.jpg
0,3,0,0,3,0,0013_A2LEBJJDE00060O_1604540063228_2_TH.jpg
0,2,1,0,1,0,0013_A2LEBJJDE00060O_1604540063228_4_LH.jpg
0,2,1,0,2,0,0013_A2LEBJJDE00060O_1604540063228_5_RH.jpg
0,2,1,0,0,0,0013_A2LEBJJDE00060O_1604540080115_2_TH.jpg
0,2,1,0,0,0,0013_A2LEBJJDE00060O_1604540080115_3_TH.jpg
0,0,0,0,2,0,0013_A2LEBJJDE00060O_1604540080115_4_LH.jpg
0,1,1,0,1,0,0013_A2LEBJJDE00060O_1604540080115_5_RH.jpg
0,2,1,0,0,0,0013_A2LEBJJDE00060O_1604540080115_6_BH.jpg
0,0,1,0,0,2,0013_A2LEBJJDE00060O_1604540092656_3_TH.jpg
2,0,1,0,1,0,0013_A2LEBJJDE00060O_1604540092656_4_LH.jpg
0,1,0,0,2,0,0013_A2LEBJJDE00060O_1604540092656_6_BH.jpg
0,2,2,0,2,0,0013_A2LEBJJDE00060O_1604563696918_2_TH.jpg
0,3,3,0,2,0,0013_A2LEBJJDE00060O_1604563696918_4_LH.jpg
0,2,1,0,2,0,0013_A2LEBJJDE00060O_1604563696918_5_RH.jpg
0,2,2,0,1,0,0013_A2LEBJJDE00060O_1604566158514_2_TH.jpg
0,2,2,0,1,2,0013_A2LEBJJDE00060O_1604566158514_3_TH.jpg
